                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.7281,                0.52372,                 1.3137,                0.93411,                0.88126,                0.93667,                0.41801,                 1.9251,                0.50863,                  1.404,               0.005875,               0.005875,               0.005875
                    127,                 1.7412,                0.52874,                 1.3065,                0.93203,                0.88372,                0.93518,                0.41857,                 1.9224,                0.50863,                  1.403,               0.005842,               0.005842,               0.005842
                    128,                 1.7305,                0.52237,                 1.3181,                0.93229,                0.88685,                0.93625,                0.42096,                 1.9157,                0.50467,                 1.4004,               0.005809,               0.005809,               0.005809
                    129,                 1.7303,                0.51557,                 1.3076,                0.93265,                0.88864,                0.93673,                0.42109,                  1.917,                0.50704,                 1.4005,               0.005776,               0.005776,               0.005776
                    130,                 1.7266,                 0.5223,                 1.3035,                0.93109,                0.89445,                0.93696,                0.42053,                 1.9151,                0.50643,                 1.3993,               0.005743,               0.005743,               0.005743
                    131,                  1.736,                0.51981,                 1.3027,                0.93289,                 0.8949,                0.93786,                0.41961,                   1.92,                0.50367,                 1.3995,                0.00571,                0.00571,                0.00571
                    132,                 1.7357,                0.51975,                 1.3024,                0.93075,                 0.8896,                0.93663,                0.42064,                 1.9181,                0.50436,                 1.3991,               0.005677,               0.005677,               0.005677
                    133,                 1.7317,                 0.5197,                 1.3086,                0.93666,                0.89282,                0.94103,                0.42116,                 1.9169,                0.50261,                 1.3994,               0.005644,               0.005644,               0.005644
                    134,                 1.7346,                0.52211,                 1.3097,                0.93028,                0.89535,                0.94083,                0.42126,                  1.916,                0.50384,                 1.3991,               0.005611,               0.005611,               0.005611
                    135,                 1.7355,                0.51453,                 1.3136,                0.93466,                 0.8949,                0.94307,                0.42377,                 1.9146,                0.50182,                 1.3987,               0.005578,               0.005578,               0.005578
                    136,                 1.7272,                0.51492,                 1.3071,                0.93488,                0.89891,                0.94258,                0.42165,                 1.9144,                0.50144,                 1.3987,               0.005545,               0.005545,               0.005545
                    137,                 1.7254,                0.51824,                 1.2978,                0.93556,                0.89624,                0.94297,                0.42133,                  1.916,                0.49941,                 1.3995,               0.005512,               0.005512,               0.005512
                    138,                 1.7154,                0.51544,                 1.2926,                0.93553,                0.89848,                0.94195,                0.42027,                 1.9199,                0.49761,                 1.4011,               0.005479,               0.005479,               0.005479
                    139,                 1.7258,                0.50765,                 1.3059,                0.93706,                 0.8958,                  0.941,                0.42114,                 1.9217,                0.49506,                  1.401,               0.005446,               0.005446,               0.005446
                    140,                 1.7179,                0.50875,                 1.2897,                0.94084,                0.89893,                0.94375,                0.42188,                 1.9188,                0.49232,                 1.3997,               0.005413,               0.005413,               0.005413
                    141,                 1.7266,                0.51355,                 1.2965,                0.94039,                0.89982,                0.94291,                0.42147,                 1.9191,                0.49305,                 1.4001,                0.00538,                0.00538,                0.00538
                    142,                 1.7281,                0.51004,                 1.3062,                0.94092,                0.89753,                0.94457,                0.42211,                 1.9223,                0.49307,                 1.4016,               0.005347,               0.005347,               0.005347
                    143,                 1.7052,                 0.5057,                 1.2923,                0.94486,                0.89624,                0.94522,                0.42267,                 1.9201,                 0.4927,                 1.4005,               0.005314,               0.005314,               0.005314
                    144,                 1.6977,                0.49828,                 1.2893,                0.94161,                0.89803,                0.94427,                0.42248,                 1.9174,                0.49422,                 1.3989,               0.005281,               0.005281,               0.005281
                    145,                 1.7051,                0.50711,                 1.2829,                0.93956,                0.89937,                0.94467,                0.42336,                 1.9181,                 0.4942,                 1.3981,               0.005248,               0.005248,               0.005248
                    146,                 1.7032,                0.50032,                 1.2863,                0.93937,                0.90076,                0.94616,                0.42424,                 1.9166,                0.49264,                 1.3967,               0.005215,               0.005215,               0.005215
                    147,                 1.7039,                0.50175,                 1.2816,                0.93945,                0.90211,                0.94649,                0.42599,                 1.9127,                0.49001,                 1.3962,               0.005182,               0.005182,               0.005182
